School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
610099,Norwood Park,Norwood Park Elementary School,5900 N Nina Ave,Chicago,IL,60631,(773)534-1198,http://www.nps.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,64.3%,75%,70.7%,66.7%,71.1%,48.7%,54.2%,64.5%,67.9%,57.5%,76.7%,66.7%,55%,66.7%,64.2%,Far Above Average,76.4%,85.7%,73.8%,65.6%,71.1%,84.6%,73.1%,75.6%,92.9%,73.2%,71.9%,66.7%,82.5%,80.8%,77.2%,,60.4%,63.8%,,,,,57.4%,65.9%,,,,Organized,Not Enough Data,Strong,Neutral,Not Enough Data,Not Enough Data,Very Strong,,4.1%,,1,95.5%,94.7%,95.6%,95.1%,No,No,,1128430.4057482556,1938729.625985901,-87.80299207,41.98818136,"(-87.80299207, 41.98818136)"
610100,West Park,West Park Elementary Academy,1425 N Tripp Ave,Chicago,IL,60651,(773) 534-4940,http://www.westpark.cps.k12.il.us,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 2,Yes,4,Scantron,Average,53.6%,48.5%,38.3%,30.2%,46.4%,50.9%,70%,47.5%,65.6%,61.2%,37.1%,75%,59.2%,59.6%,59.9%,Below Average,36.2%,27.1%,32.1%,18.8%,19.4%,31.7%,46%,28.8%,42.9%,51.9%,31.3%,44.9%,43.4%,50.8%,43.9%,45.7%,48.7%,,,41.5%,46.6%,57.7%,60.5%,,,55.8%,59.7%,Not Yet Organized,Weak,Weak,Weak,Neutral,Weak,Weak,41.2%,46.4%,2.6,2.7,93.7%,93.3%,96.7%,96.6%,No,No,,1147827.760473451,1909240.951907105,-87.73240646,41.90691024,"(-87.73240646, 41.90691024)"
610101,Ogden,William B Ogden Elementary School,24 W Walton St,Chicago,IL,60610,(773) 534-8110,http://www.ogdenschool.org,North-Northwest Side High School Network,Fullerton Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,59.7%,51.4%,66.7%,66%,67.7%,,,63.2%,55.7%,56.6%,66.7%,50%,,,56.5%,Above Average,64.5%,59%,70.9%,59.5%,70.2%,,,65.4%,64.1%,70.9%,56.8%,62.5%,,,63.6%,55.1%,72%,65.5%,50%,,57.4%,51.8%,60%,55.9%,43.6%,,51.9%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,36%,51.2%,1.1,1.7,95.1%,95%,97%,97.6%,No,No,,1175917.9834977803,1906947.8592262506,-87.62928901,41.90003152,"(-87.62928901, 41.90003152)"
610102,Oglesby,Richard J Oglesby Elementary School,7646 S Green St,Chicago,IL,60620,(773) 535-3060,http://www.oglesby.cps.k12.il.us,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 2,Yes,9,Scantron,Above Average,56.2%,47.3%,66.7%,48.6%,61.9%,62.2%,65.2%,57.2%,41.5%,51.2%,52.8%,71.4%,64.9%,66.7%,55.1%,Below Average,33.5%,23.7%,29.5%,26.3%,41.7%,50%,44%,33.9%,24.6%,24.4%,18.4%,54.2%,50%,42.3%,33%,57%,,,,,57.8%,55.4%,,,,,55.7%,Not Yet Organized,Weak,Very Weak,Weak,Very Weak,Very Weak,Weak,87.5%,74.4%,2.7,2.3,94.4%,93.7%,96.9%,96.7%,No,No,,1171926.9143234533,1853950.5358686238,-87.64550666,41.75469091,"(-87.64550666, 41.75469091)"
610103,O'keeffe,Isabelle C O'Keeffe Elementary School,6940 S Merrill Ave,Chicago,IL,60649,(773) 535-0600,http://www.okeeffeschool.org,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 3,Yes,6,Scantron,Below Average,36.4%,28.8%,23.3%,34.5%,44.6%,24.4%,45.2%,34.3%,38.6%,25.8%,50.9%,40%,21.9%,44.4%,38.7%,Far Below Average,16.7%,11.5%,12.5%,20%,21.3%,7.1%,24.4%,16.6%,8.1%,15.2%,25%,26.2%,4.5%,19%,16.9%,34.3%,,,28.1%,,33.8%,38.7%,,,,,38.2%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Very Weak,92.5%,69.1%,1.7,2.8,92.1%,90.7%,94.6%,95.3%,No,No,,1191708.826269845,1859191.4643144526,-87.57284299,41.76861557,"(-87.57284299, 41.76861557)"
610104,Onahan,William J Onahan Elementary School,6634 W Raven St,Chicago,IL,60631,(773) 534-1180,http://www.onahanschool.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,60.6%,53.7%,58.8%,66.7%,84.6%,41.7%,46.3%,59.2%,71%,64.7%,52.9%,78.5%,65.6%,35.7%,62%,Above Average,63.4%,67.2%,65.2%,73.5%,65.7%,57.1%,48.2%,63.3%,65.2%,65.2%,67.1%,73.1%,60.9%,45.6%,63.4%,,61.9%,57%,41%,,55.2%,,67.6%,59.8%,56.4%,,56%,Organized,Very Strong,Weak,Neutral,Very Strong,Very Strong,Strong,23.4%,47.2%,1.7,1.1,95.7%,94.4%,96.1%,95.8%,No,No,,1131111.8798677318,1940800.440459966,-87.79308113,41.99381787,"(-87.79308113, 41.99381787)"
610105,Oriole Park,Oriole Park Elementary School,5424 N Oketo Ave,Chicago,IL,60656,(773) 534-1201,http://www.orioleparkschool.com,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,68.9%,60.3%,67.7%,61.4%,71.9%,57.1%,56.9%,63%,81.7%,70.1%,59.6%,78.1%,88%,72.4%,74.7%,Far Above Average,82.6%,70.3%,74.6%,79.3%,89.2%,88.5%,85.2%,80.9%,72.6%,79.1%,79.3%,87.7%,98.1%,91.4%,84.3%,,63%,63.9%,50%,,69.6%,,78.7%,73.4%,56.8%,,72.6%,Organized,Not Enough Data,Strong,Neutral,Not Enough Data,Not Enough Data,Strong,46.7%,,3.4,,96.5%,96.5%,95.5%,95.8%,No,No,,1125978.2854341136,1935191.9815282484,-87.81209057,41.97851501,"(-87.81209057, 41.97851501)"
610106,Piccolo,Brian Piccolo Elementary Specialty School,1040 N Keeler Ave,Chicago,IL,60651,(773) 534-4425,http://www.piccolo.cps.k12.il.us,AUSL Schools,Garfield-Humboldt Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,35.8%,24.3%,18.2%,23.5%,37%,32.4%,47.2%,29.8%,47.1%,32.5%,45.2%,57.1%,36.4%,33.3%,42.7%,Far Below Average,15.8%,15.4%,8.9%,4.2%,7.1%,20.8%,19.6%,12.5%,21.2%,5.8%,6.5%,25.5%,24.1%,31.8%,19.1%,23.4%,46.7%,,,,30.2%,39.7%,49.1%,,,,42.4%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,64.5%,84.3%,2.8,3.4,90.6%,92.8%,95%,95.3%,No,No,,1148146.9215089793,1906778.219742831,-87.73129753,41.9001461,"(-87.73129753, 41.9001461)"
610107,Otis,James Otis Elementary School,525 N Armour St,Chicago,IL,60642,(773) 534-7665,http://www.otis.cps.k12.il.us,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,57.1%,54.8%,44.7%,60%,56%,56.4%,45.7%,52.7%,63.3%,42.1%,73.3%,60%,61.9%,65.2%,61.5%,Below Average,39.1%,32.4%,28.2%,40%,44.4%,52.4%,47.8%,41.1%,24.3%,17.9%,42.2%,40.7%,44.2%,50%,37.1%,45.5%,53.7%,,,,52.8%,63.6%,60.6%,,,,61.6%,Well-organized,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,71.4%,,3,,95.5%,95.2%,96.5%,96.2%,No,No,,1166113.410816688,1903868.6255013677,-87.66538928,41.89179703,"(-87.66538928, 41.89179703)"
610108,O'toole,Luke O'Toole Elementary School,6550 S Seeley Ave,Chicago,IL,60636,(773) 535-9040,http://www.lukeotoole.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 2,Yes,8,Scantron,Above Average,57.4%,50%,56.1%,51.2%,44.9%,60.5%,39.1%,51.1%,51.2%,68.8%,77.8%,47.9%,66.7%,69.8%,63.2%,Below Average,30.9%,15.2%,24.5%,11.1%,22.4%,31.3%,26.9%,21.7%,24%,53.7%,47.8%,27.1%,50%,40.4%,39.5%,50.9%,,,,,50.9%,62.8%,,,,,63.1%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,62.3%,71%,3.7,4.4,89.2%,90.3%,94.6%,94.2%,No,No,,1163788.5516731113,1860992.429169448,-87.67513395,41.77418952,"(-87.67513395, 41.77418952)"
610109,Owen,William Bishop Owen Scholastic Academy ES,8247 S Christiana Ave,Chicago,IL,60652,(773) 535-9330,http://www.owen.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,63.1%,63%,58.3%,74.1%,80.8%,64.3%,57.7%,66.5%,66.7%,61.5%,59.3%,76.9%,71.4%,20%,59.7%,Above Average,68.5%,51.9%,70.8%,74.1%,84.6%,78.6%,53.8%,69%,29.6%,73.1%,81.5%,84.6%,82.1%,56%,67.9%,65.5%,,,,,62.1%,60.1%,,,,,64.2%,Well-organized,Strong,Neutral,Strong,Strong,Not Enough Data,Strong,,85.7%,,2.2,96.9%,96.8%,95%,96.2%,No,No,,1155530.6491433426,1849518.2173453066,-87.70571301,41.74287191,"(-87.70571301, 41.74287191)"
610110,"Wells, I",Ida B Wells Preparatory Elementary Academy,244 E Pershing Rd,Chicago,IL,60653,(773) 535-1204,,Burnham Park Elementary Network,Burnham Park Elementary Network,Track E,Level 3,Yes,2,Scantron,Below Average,40.8%,52%,61.5%,48.1%,42.1%,33.3%,47.4%,46.2%,36%,38.5%,45.8%,33.3%,15.4%,47.4%,35.2%,Far Below Average,23.6%,28.6%,11.1%,14.8%,21.7%,27.6%,30.4%,23%,14.3%,15%,23.1%,29.2%,28.6%,36.4%,24.3%,45.7%,,,,,46.8%,34.4%,,,,,35%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,100%,53.1%,2.1,2.5,93.2%,92.6%,92.8%,93.2%,No,No,,1178735.1058844018,1879229.7802428086,-87.61978794,41.82390751,"(-87.61978794, 41.82390751)"
610111,Palmer,John Palmer Elementary School,5051 N Kenneth Ave,Chicago,IL,60630,(773) 534-3704,http://www.palmerpride.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Average,51.4%,45.1%,44.2%,36.6%,45.7%,56.8%,74.1%,50.1%,53.7%,63.6%,38.7%,45.7%,61.4%,55.6%,52.6%,Average,46.8%,32.5%,45.5%,34.7%,40.6%,50.6%,53%,42.6%,44.6%,57.1%,41.1%,45.8%,59.6%,60.2%,51.1%,,49.8%,52.7%,40.9%,32.3%,48%,,46.5%,59.3%,37.9%,41.9%,50.4%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Strong,1.4%,6.8%,1.5,5.7,96.3%,96%,94.8%,95.3%,No,No,,1145817.576673877,1933407.4761088083,-87.73917547,41.97326374,"(-87.73917547, 41.97326374)"
610112,Parker,Francis W Parker Elementary Community Academy,6800 S Stewart Ave,Chicago,IL,60621,(773) 535-3375,http://www.parker.cps.k12.il.us,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Standard,Level 3,Yes,1,Scantron,Below Average,41.2%,22.8%,41.3%,32%,43.4%,61%,54.4%,40.4%,38.2%,30.6%,51.3%,43.4%,40%,48.3%,42%,Far Below Average,20%,16%,16.9%,10.8%,19.3%,28.6%,26.2%,18.9%,13.2%,18.6%,26.2%,14%,23.4%,32.3%,21%,40.1%,,,32.6%,,40.2%,42.3%,,,35.6%,,41.8%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,83.6%,69.6%,2.2,2.2,91.9%,90.5%,94.9%,94.8%,Pending,No,,1174661.546409664,1859841.5327317577,-87.6353099,41.77079606,"(-87.6353099, 41.77079606)"
610114,Parkman,Francis Parkman Elementary School,245 W 51st St,Chicago,IL,60609,(773) 535-1739,,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 3,Yes,5,Scantron,Above Average,57.5%,50%,27.3%,57.1%,61.9%,64.7%,62.5%,56.7%,54.5%,72.7%,53.8%,57.1%,56.3%,58.3%,58.3%,Far Below Average,25.9%,20%,8.3%,28.6%,9.1%,22.2%,36%,21.7%,18.8%,66.7%,28.6%,27.3%,33.3%,20.8%,30.2%,54.8%,,,,,56.3%,58.3%,,,,,57.9%,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Neutral,77.3%,82.1%,2.6,2.6,90.6%,91.8%,95.3%,95.9%,No,No,,1175207.047150939,1871107.604033645,-87.63297392,41.80169919,"(-87.63297392, 41.80169919)"
610115,Park Manor,Park Manor Elementary School,7037 S Rhodes Ave,Chicago,IL,60637,(773) 535-3070,,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 1,Yes,6,Scantron,Average,51.7%,42.9%,46.4%,42.9%,59.1%,72.4%,61.5%,53.1%,39.5%,40%,59.3%,50%,58.6%,60%,50.3%,Below Average,30.5%,19.1%,31.3%,20%,28%,34.4%,40.7%,28%,23.9%,30%,45.2%,25%,34.4%,44.4%,33.2%,53.1%,,,,,53.1%,50.3%,,,,,50.3%,Well-organized,Neutral,Neutral,Strong,Strong,Strong,Neutral,49.3%,64.7%,3.1,3.1,94.9%,93.1%,96.3%,95.7%,No,No,,1181167.2891552236,1858324.5106495281,-87.61150917,41.76648584,"(-87.61150917, 41.76648584)"
610116,Parkside,Parkside Elementary Community Academy,6938 S East End Ave,Chicago,IL,60649,(773) 535-0940,http://www.parkside.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,35.9%,11.8%,25%,51.6%,24%,32.3%,65.5%,34.8%,27.8%,14.8%,50%,52%,33.3%,46.4%,36.9%,Far Below Average,17.7%,5.7%,3.6%,18.8%,22.2%,14.7%,32.3%,16%,10.8%,3.6%,28.1%,28.6%,20%,25.8%,19.4%,34.3%,,,,,34.7%,37%,,,38.7%,,37.4%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,39.6%,57.7%,1.9,2.1,89.8%,89.2%,94.9%,94.1%,No,No,,1188940.5421758182,1859149.080615764,-87.58299131,41.76856599,"(-87.58299131, 41.76856599)"
610117,Pasteur,Louis Pasteur Elementary School,5825 S Kostner Ave,Chicago,IL,60629,(773) 535-2270,http://www.pasteur.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,62.1%,55.8%,56.9%,79.5%,57.3%,46.2%,54.9%,58.7%,73.5%,61.5%,69.7%,75%,52.3%,57.8%,65.5%,Below Average,43.9%,28.9%,45.1%,52.1%,46.5%,45%,51.9%,44.8%,43.4%,44.2%,45.2%,39.5%,39.6%,46.7%,43.1%,,57.8%,66.7%,60.4%,63.9%,58.7%,,64.4%,81.1%,45.8%,69.6%,64.8%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,93.5%,71.2%,3.9,2.3,95%,95.9%,95.8%,96.3%,Yes,No,,1148072.9284803225,1865505.478781477,-87.73262962,41.78688968,"(-87.73262962, 41.78688968)"
610119,Peabody,Elizabeth Peabody Elementary School,1444 W Augusta Blvd,Chicago,IL,60622,(773) 534-4170,,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 3,Yes,1,Scantron,Average,47.4%,44.8%,55%,40%,42.9%,32%,42.3%,42.5%,62.1%,54.5%,44%,52.6%,40%,60%,52.4%,Far Below Average,27.8%,20%,20.8%,23.1%,20.8%,29.6%,40.7%,25.9%,30%,30.8%,40%,4.2%,25.9%,46.2%,29.7%,34.7%,46.3%,,,,42.1%,40.8%,59.6%,,,,52.1%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,70%,77.1%,1.1,1.4,95.2%,93.8%,97%,95.1%,Yes,No,,1166416.965216775,1906812.6383098518,-87.66419014,41.89986912,"(-87.66419014, 41.89986912)"
610120,Peck,Ferdinand Peck Elementary School,3826 W 58th St,Chicago,IL,60629,(773) 535-2450,http://www.peck.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,60.4%,49%,52.3%,56.7%,66.7%,65%,68.3%,59.1%,54.8%,64.3%,62.4%,48.8%,57.7%,85%,61.7%,Average,46.3%,36.1%,31.1%,41.1%,43.5%,48.4%,47.5%,41%,38.6%,48.1%,64%,51.5%,42.1%,67.5%,51.7%,,59.1%,,48%,48%,58.9%,,62%,,48%,55.9%,61.8%,Well-organized,Strong,Neutral,Strong,Strong,Strong,Strong,90%,96.7%,3.8,2.5,96.3%,94.9%,97.2%,96.3%,No,No,,1151726.7198599936,1865909.0549918336,-87.71922211,41.78792632,"(-87.71922211, 41.78792632)"
610121,Irving,Washington Irving Elementary School,749 S Oakley Blvd,Chicago,IL,60612,(773) 534-7295,http://www.irving.cps.k12.il.us,Fulton Elementary Network,Fulton Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,56%,54%,37.8%,40.9%,66%,51%,49%,50.2%,60.8%,60.9%,70.5%,63.5%,44.7%,71.7%,61.9%,Below Average,43.3%,34.6%,32.6%,35.6%,35.3%,51%,51%,40.1%,28.8%,41.3%,46.7%,51.9%,48.9%,62.5%,46.6%,44.8%,63%,,32.7%,,50.6%,57.9%,71.4%,,47.2%,,62.1%,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Neutral,43.9%,61.3%,1.9,1.7,95.6%,94.8%,95.9%,96.1%,No,No,,1161216.3911596464,1896475.332175234,-87.68357939,41.87161238,"(-87.68357939, 41.87161238)"
610122,Peirce,Helen Peirce International Studies ES,1423 W Bryn Mawr Ave,Chicago,IL,60660,(773) 534-2440,http://www.peirce.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,63.4%,60.6%,69.6%,58.2%,63.4%,57.5%,77.9%,64.5%,69.1%,81.2%,83.6%,65.9%,23.3%,51.9%,62.3%,Above Average,58.8%,49%,51.4%,52.9%,56%,61.6%,67.5%,56.2%,50%,74.3%,70%,71.4%,49.3%,57.1%,61.5%,68.3%,64.5%,75.5%,,62.5%,62.8%,57.1%,61.6%,70.8%,,66.7%,61.4%,Organized,Strong,Neutral,Neutral,Neutral,Strong,Strong,50.8%,14.6%,2.3,2,96.7%,95.7%,95.8%,96.3%,Pending,No,,1165723.803517551,1937258.24259233,-87.66586537,41.98342819,"(-87.66586537, 41.98342819)"
610123,Penn,William Penn Elementary School,1616 S Avers Ave,Chicago,IL,60623,(773) 534-1665,http://www.penn.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,6,Scantron,Above Average,60.8%,45%,56.3%,48%,55.3%,59.1%,57.1%,53%,48.7%,75%,69.2%,66.7%,72.7%,88.9%,68.6%,Far Below Average,27.6%,22%,28.6%,33.3%,12.2%,34.6%,19.4%,23.9%,2.6%,28.6%,32.1%,28.6%,64%,46.9%,31.3%,53.3%,,,,,52.5%,69.1%,,,,,68.5%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,74.1%,62.5%,2.3,2.8,91.8%,93.3%,95.2%,94.9%,No,No,,1150967.3651329137,1891574.2416684818,-87.72133609,41.85836995,"(-87.72133609, 41.85836995)"
610124,"Washington, H",Harold Washington Elementary School,9130 S University Ave,Chicago,IL,60619,(773) 535-6225,http://www.washingtonh.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 2,No,0,NWEA,Average,54.6%,47.4%,63.4%,77.3%,48.2%,41.3%,43.9%,51.9%,50.8%,70.7%,65.9%,69.6%,51.6%,41.8%,57.4%,Below Average,33.2%,26.8%,45.8%,50%,24.2%,40.3%,27.9%,34.7%,23.9%,45.8%,30%,28.8%,40.3%,25%,31.8%,51.7%,,,51.1%,,52.2%,57.3%,,,51.1%,,57.8%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,94.1%,95.2%,4,3.4,96.1%,95.8%,96.2%,95.5%,No,No,,1185436.7464950709,1844530.7313251202,-87.59629327,41.72853492,"(-87.59629327, 41.72853492)"
610125,Ruiz,Irma C Ruiz Elementary School,2410 S Leavitt St,Chicago,IL,60608,(773) 535-4825,http://www.ruizelementaryschool.org,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,55.5%,42.7%,47.6%,60.4%,45.8%,50%,71%,52.7%,51.8%,40%,68.9%,61.4%,56.2%,68.6%,58.3%,Below Average,33.7%,24.7%,28.7%,33%,41.3%,32.1%,38.8%,32.7%,23.6%,16.5%,30%,37.5%,51.9%,54.9%,34.8%,,52.6%,,40%,48.6%,51.9%,,58%,,51.3%,42.9%,57.2%,Moderately Organized,Neutral,Weak,Neutral,Neutral,Strong,Neutral,14.2%,32.9%,2.8,3.4,95.5%,94.4%,95%,94.2%,Yes,No,,1162043.6489903843,1887912.320947821,-87.68078114,41.84809742,"(-87.68078114, 41.84809742)"
610126,Pershing,John J Pershing Elementary Humanities Magnet,3113 S Rhodes Ave,Chicago,IL,60616,(773) 534-9272,http://www.pershing.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,58.9%,47.9%,,,,,,47.9%,70.2%,,,,,,70.2%,Below Average,38.4%,38%,,,,,,38%,38.8%,,,,,,38.8%,47.9%,,,,,47.2%,70.2%,,,,,74.3%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,93.6%,97.9%,1.8,1.8,95.5%,93.9%,96.7%,95.7%,No,No,,1180449.2038447545,1884392.3163986236,-87.61334083,41.83803465,"(-87.61334083, 41.83803465)"
610127,Peterson,Mary Gage Peterson Elementary School,5510 N Christiana Ave,Chicago,IL,60625,(773) 534-5070,http://www.marygagepeterson.net,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,64.9%,59.7%,56.6%,70%,69%,85.7%,66.7%,67.5%,83.6%,48.2%,58.2%,55.8%,74%,60.7%,62.4%,Above Average,57.8%,54.1%,47.7%,49.5%,69%,70.6%,65.9%,59.1%,55.4%,47.1%,51.1%,60.7%,63.2%,62.6%,56.6%,,68.3%,70.3%,63.8%,56.4%,64.1%,,61.5%,69.2%,62.2%,84.2%,62%,Moderately Organized,Neutral,Strong,Strong,Weak,Weak,Neutral,76.9%,62.4%,1.6,2.1,95.5%,95.2%,96.7%,96.7%,Yes,No,,1153016.8281384967,1936489.3120214408,-87.71261988,41.98158041,"(-87.71261988, 41.98158041)"
610128,Garvey,Marcus Moziah Garvey Elementary School,10309 S Morgan St,Chicago,IL,60643,(773) 535-2763,http://www.garvey.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,50.5%,37.1%,21.2%,65.7%,66%,56.8%,52.5%,51.1%,60%,33.3%,31.4%,51.1%,68.4%,52.5%,50%,Below Average,42.9%,32.4%,36.4%,31.6%,52.1%,61.5%,46.3%,44.1%,48.6%,30.3%,18.4%,41.7%,62.5%,46.3%,41.8%,51.3%,,,41.2%,,51.4%,50.2%,,,44.1%,,48.9%,Organized,Not Enough Data,Strong,Strong,Not Enough Data,Not Enough Data,Strong,74%,92.7%,2.4,2.6,94%,92.3%,96%,96.7%,No,No,,1171511.6464439938,1836420.670516716,-87.64754034,41.7065956,"(-87.64754034, 41.7065956)"
610129,Pickard,Josiah Pickard Elementary School,2301 W 21st Pl,Chicago,IL,60608,(773) 535-7280,http://www.pickard.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,59%,61.6%,70.9%,52.4%,41.2%,75.5%,64.5%,61.3%,75%,33.9%,65%,47.1%,62.3%,48.4%,56.7%,Below Average,39.4%,27.2%,19.3%,22.2%,41.2%,47.3%,23.5%,30.3%,42%,38.6%,51.1%,51%,61.8%,51.4%,48.5%,,61.9%,,,51.3%,61.3%,,57%,,,49.3%,56.7%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,69.6%,86.4%,1.7,1.8,95.8%,96.2%,96.4%,96.4%,No,No,,1161333.3705826395,1889647.219251051,-87.6833397,41.85287295,"(-87.6833397, 41.85287295)"
610130,Pirie,John T Pirie Fine Arts & Academic Center ES,650 E 85th St,Chicago,IL,60619,(773) 535-3435,,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 1,No,0,Scantron,Below Average,42.9%,34%,34.1%,53.7%,58.3%,,,45%,51.1%,28.9%,25.6%,54.2%,,,40.8%,Below Average,36.4%,34%,34%,46.7%,46.2%,,,40.1%,26%,24%,22.7%,55.8%,,,32.7%,45.5%,,,,,45.8%,41.2%,,,,,41.2%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,92.9%,68.8%,2.3,2,93.5%,94%,95.4%,95.6%,No,No,,1182225.8984408518,1848815.3015009104,-87.60792289,41.74036711,"(-87.60792289, 41.74036711)"
610131,Plamondon,Ambrose Plamondon Elementary School,2642 W 15th Pl,Chicago,IL,60608,(773) 534-1789,,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 2,No,0,Scantron,Average,45.6%,50%,38.9%,43.5%,64%,64.3%,53.8%,52.4%,16.7%,55.6%,21.7%,59.3%,25%,42.9%,39.1%,Below Average,39.1%,25%,22.2%,41.7%,32.1%,64.3%,42.9%,37.3%,16.7%,26.3%,40%,50%,75%,26.7%,40.9%,,52.9%,,,,53.4%,,37.9%,,,,39.8%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,,,,,96.9%,97.1%,96.6%,93.5%,No,No,,1158816.3023398905,1892329.99596353,-87.69250468,41.86028668,"(-87.69250468, 41.86028668)"
